candidate_index,q,w,kB,kC,kD,kA,exact_shared_classes,exact_residual_qcoords,exact_residual_bits,exact_observed_pairs,exact_edge_density,exact_agreement_fraction,exact_left_class_sizes,exact_right_class_sizes,label_entropy_bits,label_balance,source_entropy_bits,left_entropy_bits,right_entropy_bits,source_to_label_mi_bits,source_to_label_mi_norm_capacity,source_to_label_mi_over_label_entropy,label_to_left_mi_bits,label_to_right_mi_bits,source_to_left_mi_bits,source_to_right_mi_bits,one_step_label_persistence_mi_bits,one_step_label_persistence_norm,live_common_factor,live_threshold,mutation_summary,mutation_survival_at_max_rate,mutation_residual_at_max_rate,saved_approx_residual_qcoords,saved_approx_quality_score,saved_exact_residual_qcoords,saved_blind_fitness,saved_blind_fitness_stage,saved_search_mode,saved_run,saved_generation,saved_candidate,saved_target_mode,saved_proposal_mode,saved_fitness_mode,rule_interface_mi_norm_mean,rule_interface_mi_bits_mean,rule_interface_copy_accuracy_mean,rule_interface_cond_entropy_bits_mean,rule_interface_output_entropy_bits_mean,rule_interface_n,rule_interface_roles
0,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9391004561676564,0.9695502280838282,0.954434002924965,1.9391004561676561,1.9391004561676564,0.5389214971536811,0.26946074857684055,0.2779234543726421,1.9391004561676566,1.9391004561676564,0.5389214971536802,0.5389214971536811,0.0,,True,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.6542481250360578, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.75}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.5627443751081735, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.8}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.2688721875540867, ""mutation_exact_residual_max"": 0.7924812503605781, ""mutation_selection_fraction"": 0.45}]",0.45,0.2688721875540867,1.0,1.000000969550228,1.0,1.0000010000009696,exact,evolve,1,50,1200,interface,mixed,two_stage,0.36256136948724627,0.7251227389744925,0.65,0.9811278124459133,1.7062505514204058,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
1,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9391004561676564,0.9695502280838282,0.954434002924965,1.9391004561676561,1.9391004561676564,0.5389214971536811,0.26946074857684055,0.2779234543726421,1.9391004561676566,1.9391004561676564,0.5389214971536802,0.5389214971536811,0.0,,True,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.7273684376262024, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.85}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.6334962500721157, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.85}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.29387218755408673, ""mutation_exact_residual_max"": 0.7924812503605781, ""mutation_selection_fraction"": 0.5}]",0.5,0.29387218755408673,1.0,1.000000969550228,1.0,1.0000010000009696,exact,evolve,1,50,1201,interface,mixed,two_stage,0.33983966934099796,0.6796793386819959,0.65,1.0061278124459132,1.6858071511279094,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
2,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9391004561676564,0.9695502280838282,0.954434002924965,1.9391004561676561,1.9391004561676564,0.5389214971536811,0.26946074857684055,0.2779234543726421,1.9391004561676566,1.9391004561676564,0.5389214971536802,0.5389214971536811,0.0,,True,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.6731203125901446, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.8}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.5084962500721156, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.65}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.2792481250360578, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.45}]",0.45,0.2792481250360578,1.0,1.000000969550228,1.0,1.0000010000009696,exact,evolve,1,49,1176,interface,mixed,two_stage,0.36256136948724627,0.7251227389744925,0.65,0.9811278124459133,1.7062505514204058,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
3,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9391004561676564,0.9695502280838282,0.954434002924965,1.9391004561676561,1.9391004561676564,0.5389214971536811,0.26946074857684055,0.2779234543726421,1.9391004561676566,1.9391004561676564,0.5389214971536802,0.5389214971536811,0.0,,True,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.7188721875540868, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.85}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.5584962500721156, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.7}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.4919925001442313, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.7}]",0.7,0.4919925001442313,1.0,1.000000969550228,1.0,1.0000010000009696,exact,evolve,1,49,1177,interface,mixed,two_stage,0.33983966934099796,0.6796793386819959,0.65,1.0061278124459132,1.6858071511279094,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
4,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9391004561676564,0.9695502280838282,0.954434002924965,1.9391004561676561,1.9391004561676564,0.5389214971536811,0.26946074857684055,0.2779234543726421,1.9391004561676566,1.9391004561676564,0.5389214971536802,0.5389214971536811,0.0,,True,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.8334962500721156, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.5084962500721156, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.7}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.3334962500721156, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.5}]",0.5,0.3334962500721156,1.0,1.000000969550228,1.0,1.0000010000009696,exact,evolve,1,48,1152,interface,mixed,two_stage,0.36256136948724627,0.7251227389744925,0.65,0.9811278124459133,1.7062505514204058,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
5,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9391004561676564,0.9695502280838282,0.954434002924965,1.9391004561676561,1.9391004561676564,0.5389214971536811,0.26946074857684055,0.2779234543726421,1.9391004561676566,1.9391004561676564,0.5389214971536802,0.5389214971536811,0.0,,True,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.7877443751081734, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.95}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.5919925001442313, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.8}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.3584962500721156, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.55}]",0.55,0.3584962500721156,1.0,1.000000969550228,1.0,1.0000010000009696,exact,evolve,1,48,1153,interface,mixed,two_stage,0.33983966934099796,0.6796793386819959,0.65,1.0061278124459132,1.6858071511279094,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
6,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9391004561676564,0.9695502280838282,0.954434002924965,1.9391004561676561,1.9391004561676564,0.5389214971536811,0.26946074857684055,0.2779234543726421,1.9391004561676566,1.9391004561676564,0.5389214971536802,0.5389214971536811,0.0,,True,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.6231203125901446, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.85}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.5938721875540868, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.8}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.1938721875540867, ""mutation_exact_residual_max"": 0.7924812503605781, ""mutation_selection_fraction"": 0.3}]",0.3,0.1938721875540867,1.0,1.000000969550228,1.0,1.0000010000009696,exact,evolve,1,47,1128,interface,mixed,two_stage,0.36256136948724627,0.7251227389744925,0.65,0.9811278124459133,1.7062505514204058,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
7,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9391004561676564,0.9695502280838282,0.954434002924965,1.9391004561676561,1.9391004561676564,0.5389214971536811,0.26946074857684055,0.2779234543726421,1.9391004561676566,1.9391004561676564,0.5389214971536802,0.5389214971536811,0.0,,True,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.7981203125901446, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.9}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.5481203125901445, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.75}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.3231203125901445, ""mutation_exact_residual_max"": 0.7924812503605781, ""mutation_selection_fraction"": 0.5}]",0.5,0.3231203125901445,1.0,1.000000969550228,1.0,1.0000010000009696,exact,evolve,1,47,1146,interface,mixed,two_stage,0.33983966934099796,0.6796793386819959,0.65,1.0061278124459132,1.6858071511279094,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
8,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9391004561676564,0.9695502280838282,0.954434002924965,1.9391004561676561,1.9391004561676564,0.5389214971536811,0.26946074857684055,0.2779234543726421,1.9391004561676566,1.9391004561676564,0.5389214971536802,0.5389214971536811,0.0,,True,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.5, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.6}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.5334962500721157, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.7}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.25849625007211563, ""mutation_exact_residual_max"": 0.7924812503605781, ""mutation_selection_fraction"": 0.4}]",0.4,0.25849625007211563,1.0,1.000000969550228,1.0,1.0000010000009696,exact,evolve,1,46,1126,interface,mixed,two_stage,0.36256136948724627,0.7251227389744925,0.65,0.9811278124459133,1.7062505514204058,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
9,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9280487257100647,0.9640243628550323,0.954434002924965,1.928048725710065,1.9280487257100647,0.8041784688081286,0.4020892344040643,0.4170944738504804,1.928048725710065,1.9280487257100647,0.804178468808129,0.8041784688081286,0.0,,True,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.9127443751081735, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.6377443751081734, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.8}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.2834962500721156, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.4}]",0.4,0.2834962500721156,1.0,1.0000009640243628,1.0,1.000001000000964,exact,evolve,0,50,1211,interface,mixed,two_stage,0.33667568542426934,0.6733513708485387,0.65,0.9655639062229566,1.6389152770714954,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
